level,poi_domain_h,poi_category_h,poi_type_h,offering_tier,offering_weight,causal_rationale,data_corr
type,Public Space,Toilet,Toilet,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
category,Public Space,Vending,,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Vending,Candy Machine,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Vending,Cigarette Machine,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Vending,Condom Machine,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Vending,Dog Bag Dispenser,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Vending,Drinks Machine,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Vending,Drinks and Candy Machine,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Vending,Other Vending Machine,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
domain,Religion,,,0,0.0,Cemeteries and places of worship are sited by demographic/institutional history rather than commercial-market response; no established causal link to retail-based gentrification signal; dropped.,
category,Religion,Cemetery,,0,0.0,Cemeteries and places of worship are sited by demographic/institutional history rather than commercial-market response; no established causal link to retail-based gentrification signal; dropped.,
type,Religion,Cemetery,Cemetery,0,0.0,Cemeteries and places of worship are sited by demographic/institutional history rather than commercial-market response; no established causal link to retail-based gentrification signal; dropped.,
category,Religion,Religious Buildings,,0,0.0,Cemeteries and places of worship are sited by demographic/institutional history rather than commercial-market response; no established causal link to retail-based gentrification signal; dropped.,
type,Religion,Religious Buildings,Church,0,0.0,Cemeteries and places of worship are sited by demographic/institutional history rather than commercial-market response; no established causal link to retail-based gentrification signal; dropped.,
type,Religion,Religious Buildings,Mosque,0,0.0,Cemeteries and places of worship are sited by demographic/institutional history rather than commercial-market response; no established causal link to retail-based gentrification signal; dropped.,
type,Religion,Religious Buildings,Other Temple,0,0.0,Cemeteries and places of worship are sited by demographic/institutional history rather than commercial-market response; no established causal link to retail-based gentrification signal; dropped.,
domain,Retail,,,1,0.33,"Retail broadly; refined per category -- boutique/specialty formats are cited signatures, generic/utility retail is incumbent-serving (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)).",
category,Retail,Art,,1,0.33,"Retail broadly; refined per category -- boutique/specialty formats are cited signatures, generic/utility retail is incumbent-serving (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)).",
type,Retail,Art,Art,1,0.33,"Retail broadly; refined per category -- boutique/specialty formats are cited signatures, generic/utility retail is incumbent-serving (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)).",
type,Retail,Art,Photo,1,0.33,"Retail broadly; refined per category -- boutique/specialty formats are cited signatures, generic/utility retail is incumbent-serving (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)).",
category,Retail,Clothing,,2,0.66,"Boutique/independent clothing retail cited as retail-succession format (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature)); Second Hand/Tailor kept at same tier pending data split (2x2 confirmation, ADR-0017 D2).",
type,Retail,Clothing,Boutique,3,1.0,Independent fashion boutiques are a headline third-wave retail signature (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature)).,
type,Retail,Clothing,Clothing,2,0.66,"Boutique/independent clothing retail cited as retail-succession format (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature)); Second Hand/Tailor kept at same tier pending data split (2x2 confirmation, ADR-0017 D2).",
type,Retail,Clothing,Second Hand,2,0.66,"Boutique/independent clothing retail cited as retail-succession format (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature)); Second Hand/Tailor kept at same tier pending data split (2x2 confirmation, ADR-0017 D2).",
type,Retail,Clothing,Shoes,2,0.66,"Boutique/independent clothing retail cited as retail-succession format (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature)); Second Hand/Tailor kept at same tier pending data split (2x2 confirmation, ADR-0017 D2).",
type,Retail,Clothing,Sports,2,0.66,"Boutique/independent clothing retail cited as retail-succession format (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature)); Second Hand/Tailor kept at same tier pending data split (2x2 confirmation, ADR-0017 D2).",
type,Retail,Clothing,Tailor,2,0.66,"Boutique/independent clothing retail cited as retail-succession format (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature)); Second Hand/Tailor kept at same tier pending data split (2x2 confirmation, ADR-0017 D2).",
category,Retail,Drugstore,,0,0.0,Chain drugstores are ubiquitous convenience retail with no distinctive gentrification association; dropped.,
type,Retail,Drugstore,Drugstore,0,0.0,Chain drugstores are ubiquitous convenience retail with no distinctive gentrification association; dropped.,
category,Retail,Food and Drink,,1,0.33,"Everyday grocery/convenience retail (supermarket, kiosk, beverages) is broadly incumbent-serving, weak gentrification signature.",
type,Retail,Food and Drink,Bakery,2,0.66,Artisan bakeries follow the specialty-food-retail pattern but are also common in stable neighbourhoods; medium weight pending data confirmation.,
type,Retail,Food and Drink,Beverages,1,0.33,"Everyday grocery/convenience retail (supermarket, kiosk, beverages) is broadly incumbent-serving, weak gentrification signature.",
type,Retail,Food and Drink,Butcher,1,0.33,"Everyday grocery/convenience retail (supermarket, kiosk, beverages) is broadly incumbent-serving, weak gentrification signature.",
type,Retail,Food and Drink,Delicatessen,3,1.0,Delicatessens/specialty food retail are a cited 'foodie' gentrification signature (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature); Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)).,
type,Retail,Food and Drink,Kiosk,1,0.33,"Everyday grocery/convenience retail (supermarket, kiosk, beverages) is broadly incumbent-serving, weak gentrification signature.",
type,Retail,Food and Drink,Liquor,1,0.33,"Everyday grocery/convenience retail (supermarket, kiosk, beverages) is broadly incumbent-serving, weak gentrification signature.",
type,Retail,Food and Drink,Supermarket,1,0.33,"Everyday grocery/convenience retail (supermarket, kiosk, beverages) is broadly incumbent-serving, weak gentrification signature.",
type,Retail,Food and Drink,Sweets,1,0.33,"Everyday grocery/convenience retail (supermarket, kiosk, beverages) is broadly incumbent-serving, weak gentrification signature.",
category,Retail,Hardware,,0,0.0,"Hardware/ironmonger stores are classic incumbent trades displaced BY upgrading rather than a signal of it (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); dropped.",
type,Retail,Hardware,Hardware Store,0,0.0,"Hardware/ironmonger stores are classic incumbent trades displaced BY upgrading rather than a signal of it (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); dropped.",
type,Retail,Hardware,Ironmonger,0,0.0,"Hardware/ironmonger stores are classic incumbent trades displaced BY upgrading rather than a signal of it (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); dropped.",
category,Retail,Medical,,0,0.0,"Opticians/hearing-aid/medical retail track health demand, not commercial gentrification; dropped.",
type,Retail,Medical,Hearing Aid,0,0.0,"Opticians/hearing-aid/medical retail track health demand, not commercial gentrification; dropped.",
type,Retail,Medical,Medical,0,0.0,"Opticians/hearing-aid/medical retail track health demand, not commercial gentrification; dropped.",
type,Retail,Medical,Optician,0,0.0,"Opticians/hearing-aid/medical retail track health demand, not commercial gentrification; dropped.",
category,Retail,Other Goods,,1,0.33,"Mixed durable-goods retail; ambiguous, kept low weight.",
type,Retail,Other Goods,Computer,1,0.33,"Mixed durable-goods retail; ambiguous, kept low weight.",
type,Retail,Other Goods,Decoration,1,0.33,"Mixed durable-goods retail; ambiguous, kept low weight.",
type,Retail,Other Goods,Discount Market,1,0.33,"Mixed durable-goods retail; ambiguous, kept low weight.",
type,Retail,Other Goods,Florist,1,0.33,"Mixed durable-goods retail; ambiguous, kept low weight.",
type,Retail,Other Goods,Furniture,2,0.66,Design-oriented furniture retail is cited alongside boutique/design retail as a succession format; medium weight.,
type,Retail,Other Goods,Jewelry,2,0.66,Jewelry retail follows the specialty/boutique retail-succession pattern (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature)); medium weight.,
type,Retail,Other Goods,Pet Shop,2,0.66,"Upscale pet-care retail (grooming, boutique pet shops) is specifically cited in retail-gentrification literature (Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)); medium weight.",
type,Retail,Other Goods,Textile Shop,1,0.33,"Mixed durable-goods retail; ambiguous, kept low weight.",
category,Retail,Other Shop,,0,0.0,"Unclassified residual retail; no specific causal claim, dropped by default (not causally plausible without a specific type).",
type,Retail,Other Shop,Other Shop,0,0.0,"Unclassified residual retail; no specific causal claim, dropped by default (not causally plausible without a specific type).",
category,Retail,Print,,1,0.33,"Newspaper/copy-shop retail is a declining incumbent format, not a gentrification signature.",
type,Retail,Print,Books,3,1.0,Independent bookstores are a canonical 'third wave' cultural-retail signature (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature); Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)).,
type,Retail,Print,Copy Shop,1,0.33,"Newspaper/copy-shop retail is a declining incumbent format, not a gentrification signature.",
type,Retail,Print,Newspaper,1,0.33,"Newspaper/copy-shop retail is a declining incumbent format, not a gentrification signature.",
category,Retail,Tech,,0,0.0,Consumer electronics/mobile retail is ubiquitous chain format with no distinctive gentrification association; dropped.,
type,Retail,Tech,Electronics,0,0.0,Consumer electronics/mobile retail is ubiquitous chain format with no distinctive gentrification association; dropped.,
type,Retail,Tech,Mobile,0,0.0,Consumer electronics/mobile retail is ubiquitous chain format with no distinctive gentrification association; dropped.,
category,Retail,Toys and Gifts,,1,0.33,Ambiguous specialty-retail format; kept low weight pending data confirmation.,
type,Retail,Toys and Gifts,Gifts,1,0.33,Ambiguous specialty-retail format; kept low weight pending data confirmation.,
type,Retail,Toys and Gifts,Toys,1,0.33,Ambiguous specialty-retail format; kept low weight pending data confirmation.,
category,Retail,Workshop,,0,0.0,"Auto/bicycle repair and car dealerships are classic incumbent trades (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); dropped.",
type,Retail,Workshop,Bicycle,1,0.33,"Bicycle shops sit at the edge of 'cycling culture' amenity discourse; kept low weight rather than dropped, pending data confirmation.",
type,Retail,Workshop,Car Dealership,0,0.0,"Auto/bicycle repair and car dealerships are classic incumbent trades (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); dropped.",
type,Retail,Workshop,Car Repair,0,0.0,"Auto/bicycle repair and car dealerships are classic incumbent trades (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); dropped.",
domain,Services,,,1,0.33,Personal-service trades broadly incumbent-serving; refined per category.,
category,Services,Beauty,,2,0.66,"Boutique beauty/wellness services are cited alongside fitness/wellness as gentrification-era consumption (Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)).",
type,Services,Beauty,Beauty,2,0.66,"Boutique beauty/wellness services are cited alongside fitness/wellness as gentrification-era consumption (Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)).",
category,Services,Funeral,,0,0.0,"Funeral services track demographic life-course events, not commercial-market response to neighbourhood change; dropped.",
type,Services,Funeral,Funeral Home,0,0.0,"Funeral services track demographic life-course events, not commercial-market response to neighbourhood change; dropped.",
category,Services,Hairdresser,,1,0.33,Generic hairdressers are ubiquitous and not distinctively upscale absent a 'salon/barbershop' qualifier; kept low weight.,
type,Services,Hairdresser,Hairdresser,1,0.33,Generic hairdressers are ubiquitous and not distinctively upscale absent a 'salon/barbershop' qualifier; kept low weight.,
category,Services,Laundry,,0,0.0,"Laundromats/dry cleaning are basic incumbent-serving utility services (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); dropped.",
type,Services,Laundry,Dry Cleaning,0,0.0,"Laundromats/dry cleaning are basic incumbent-serving utility services (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); dropped.",
type,Services,Laundry,Laundromat,0,0.0,"Laundromats/dry cleaning are basic incumbent-serving utility services (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); dropped.",
category,Services,Massage,,2,0.66,Wellness/spa services follow the same fitness/wellness consumption pattern; medium weight.,
type,Services,Massage,Massage,2,0.66,Wellness/spa services follow the same fitness/wellness consumption pattern; medium weight.,
category,Services,Travel,,0,0.0,"Travel agencies are a declining, disintermediated format with no established gentrification association; dropped.",
type,Services,Travel,Travel,0,0.0,"Travel agencies are a declining, disintermediated format with no established gentrification association; dropped.",
domain,Sports and Recreation,,,1,0.33,Mixed sport/recreation; refined per category.,
category,Sports and Recreation,Recreation,,1,0.33,Mixed recreation amenities; ambiguous.,
type,Sports and Recreation,Recreation,Other Recreation,1,0.33,Mixed recreation amenities; ambiguous.,
type,Sports and Recreation,Recreation,Playground,0,0.0,"Playgrounds are public family infrastructure sited by municipal planning, not a commercial offering; dropped.",
type,Sports and Recreation,Recreation,Sauna,2,0.66,Spa/sauna wellness venues follow the boutique-wellness consumption pattern; medium weight.,
type,Sports and Recreation,Recreation,Water Sports,1,0.33,Mixed recreation amenities; ambiguous.,
category,Sports and Recreation,Sport,,1,0.33,"Municipal/generic sport facilities (football, basketball, tennis, table tennis courts) are typically public/club infrastructure, weak commercial signature.",
type,Sports and Recreation,Sport,Basketball,1,0.33,"Municipal/generic sport facilities (football, basketball, tennis, table tennis courts) are typically public/club infrastructure, weak commercial signature.",
type,Sports and Recreation,Sport,Fitness Center,3,1.0,"Boutique fitness studios (the 'yoga_studio' worked example in the original seed_poi_canonical_category.csv stub) are a headline wellness-consumption gentrification signature (Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)).",
type,Sports and Recreation,Sport,Football,1,0.33,"Municipal/generic sport facilities (football, basketball, tennis, table tennis courts) are typically public/club infrastructure, weak commercial signature.",
type,Sports and Recreation,Sport,Martial Arts,2,0.66,Studio-format martial-arts businesses follow the boutique-fitness pattern; medium weight.,
type,Sports and Recreation,Sport,Other Sport,1,0.33,"Municipal/generic sport facilities (football, basketball, tennis, table tennis courts) are typically public/club infrastructure, weak commercial signature.",
type,Sports and Recreation,Sport,Other Sports,1,0.33,"Municipal/generic sport facilities (football, basketball, tennis, table tennis courts) are typically public/club infrastructure, weak commercial signature.",
type,Sports and Recreation,Sport,Sports Center,1,0.33,"Municipal/generic sport facilities (football, basketball, tennis, table tennis courts) are typically public/club infrastructure, weak commercial signature.",
type,Sports and Recreation,Sport,Swimming,1,0.33,"Municipal/generic sport facilities (football, basketball, tennis, table tennis courts) are typically public/club infrastructure, weak commercial signature.",
type,Sports and Recreation,Sport,Table Tennis,1,0.33,"Municipal/generic sport facilities (football, basketball, tennis, table tennis courts) are typically public/club infrastructure, weak commercial signature.",
type,Sports and Recreation,Sport,Tennis,1,0.33,"Municipal/generic sport facilities (football, basketball, tennis, table tennis courts) are typically public/club infrastructure, weak commercial signature.",
domain,Tourism,,,0,0.0,Static heritage/sightseeing infrastructure does not track commercial-market change; dropped by default.,
category,Tourism,Accommodation,,2,0.66,Hotel/hostel growth is a cited 'tourism gentrification' correlate of commercial upgrading (Gotham 2005 tourism gentrification (hotel/hostel growth as commercial-upgrading correlate)); medium weight (not top-tier -- large-scale tourism infrastructure siting has other drivers too).,
type,Tourism,Accommodation,Hostel,2,0.66,Hotel/hostel growth is a cited 'tourism gentrification' correlate of commercial upgrading (Gotham 2005 tourism gentrification (hotel/hostel growth as commercial-upgrading correlate)); medium weight (not top-tier -- large-scale tourism infrastructure siting has other drivers too).,
type,Tourism,Accommodation,Hotel,2,0.66,Hotel/hostel growth is a cited 'tourism gentrification' correlate of commercial upgrading (Gotham 2005 tourism gentrification (hotel/hostel growth as commercial-upgrading correlate)); medium weight (not top-tier -- large-scale tourism infrastructure siting has other drivers too).,
type,Tourism,Accommodation,Other Accommodation,2,0.66,Hotel/hostel growth is a cited 'tourism gentrification' correlate of commercial upgrading (Gotham 2005 tourism gentrification (hotel/hostel growth as commercial-upgrading correlate)); medium weight (not top-tier -- large-scale tourism infrastructure siting has other drivers too).,
category,Tourism,Info,,0,0.0,Static heritage/sightseeing infrastructure does not track commercial-market change; dropped by default.,
type,Tourism,Info,Info,0,0.0,Static heritage/sightseeing infrastructure does not track commercial-market change; dropped by default.,
category,Tourism,Other Tourism,,0,0.0,Static heritage/sightseeing infrastructure does not track commercial-market change; dropped by default.,
type,Tourism,Other Tourism,Other Tourism,0,0.0,Static heritage/sightseeing infrastructure does not track commercial-market change; dropped by default.,
category,Tourism,Sights,,0,0.0,Static heritage/sightseeing infrastructure does not track commercial-market change; dropped by default.,
type,Tourism,Sights,Artwork,0,0.0,Static heritage/sightseeing infrastructure does not track commercial-market change; dropped by default.,
type,Tourism,Sights,Listed Building,0,0.0,Static heritage/sightseeing infrastructure does not track commercial-market change; dropped by default.,
type,Tourism,Sights,Other Monument,0,0.0,Static heritage/sightseeing infrastructure does not track commercial-market change; dropped by default.,
type,Tourism,Sights,Viewpoint,0,0.0,Static heritage/sightseeing infrastructure does not track commercial-market change; dropped by default.,
domain,Vacancy,,,3,1.0,"Vacancy is retained at full weight as the theorised **opposite-pole disinvestment/rent-gap marker** (Smith 1979 rent-gap theory (vacancy/disinvestment as opposite-pole signal, ADR-0017 D-2)) -- NOT an amenity-offering signal. Per ADR-0017 D-2 it must never be summed with amenity OA into one score; downstream (OA-B.3 #172) must apply it with an explicit negative/disinvestment sign, kept separate from the amenity-offering composite.",
category,Vacancy,Vacancy,,3,1.0,"Vacancy is retained at full weight as the theorised **opposite-pole disinvestment/rent-gap marker** (Smith 1979 rent-gap theory (vacancy/disinvestment as opposite-pole signal, ADR-0017 D-2)) -- NOT an amenity-offering signal. Per ADR-0017 D-2 it must never be summed with amenity OA into one score; downstream (OA-B.3 #172) must apply it with an explicit negative/disinvestment sign, kept separate from the amenity-offering composite.",
type,Vacancy,Vacancy,Vacancy,3,1.0,"Vacancy is retained at full weight as the theorised **opposite-pole disinvestment/rent-gap marker** (Smith 1979 rent-gap theory (vacancy/disinvestment as opposite-pole signal, ADR-0017 D-2)) -- NOT an amenity-offering signal. Per ADR-0017 D-2 it must never be summed with amenity OA into one score; downstream (OA-B.3 #172) must apply it with an explicit negative/disinvestment sign, kept separate from the amenity-offering composite.",
